"No.","Time","Source","Destination","Protocol","Length","Info"
"7515","619.684470","10.8.0.1","103.140.107.34.bc.googleusercontent.com","TCP","590","51730  >  443 [ACK] Seq=1 Ack=2 Win=67107840 Len=536 [TCP segment of a reassembled PDU]"
"7516","619.684500","10.8.0.1","103.140.107.34.bc.googleusercontent.com","TCP","54","51730  >  443 [RST, ACK] Seq=537 Ack=2 Win=67107840 Len=0"
"7517","619.684526","10.8.0.1","103.140.107.34.bc.googleusercontent.com","TCP","590","51732  >  443 [ACK] Seq=1 Ack=2 Win=67107840 Len=536 [TCP segment of a reassembled PDU]"
"7518","619.684552","10.8.0.1","103.140.107.34.bc.googleusercontent.com","TCP","54","51732  >  443 [RST, ACK] Seq=537 Ack=2 Win=67107840 Len=0"
"7519","619.684577","10.8.0.1","a23-77-218-137.deploy.static.akamaitechnologies.com","TLSv1","571","Client Hello"
"7520","619.684602","10.8.0.1","a23-77-218-137.deploy.static.akamaitechnologies.com","TCP","54","44176  >  443 [RST, ACK] Seq=518 Ack=2 Win=67107840 Len=0"
"7521","619.684627","10.8.0.1","a23-77-218-137.deploy.static.akamaitechnologies.com","TLSv1","571","Client Hello"
"7522","619.684652","10.8.0.1","a23-77-218-137.deploy.static.akamaitechnologies.com","TCP","54","44178  >  443 [RST, ACK] Seq=518 Ack=2 Win=67107840 Len=0"
"7523","619.684679","10.8.0.1","231.176.107.34.bc.googleusercontent.com","GQUIC","1392","Client Hello, PKN: 6, CID: 91553813337083678"
"7524","619.747432","231.176.107.34.bc.googleusercontent.com","10.8.0.1","GQUIC","133","Connection Close, PKN: 11, CID: 91553813337083678"
"7525","619.747581","10.8.0.1","130.44.212.180","TLSv1.3","84","[TCP Spurious Retransmission] , Application Data"
"7526","619.747661","130.44.212.180","10.8.0.1","TCP","54","[TCP Dup ACK 7495#2] 443  >  56548 [ACK] Seq=5173 Ack=2623 Win=65535 Len=0"
"7527","619.747847","130.44.212.180","10.8.0.1","TLSv1.3","83","Application Data"
"7528","619.747888","10.8.0.1","gh-in-f188.1e100.net","TLSv1.3","92","[TCP Spurious Retransmission] , Application Data"
"7529","619.747960","10.8.0.1","ec2-52-26-238-212.us-west-2.compute.amazonaws.com","TCP","77","[TCP Retransmission] 36270  >  443 [FIN, PSH, ACK] Seq=4991 Ack=6051 Win=65535 Len=23"
"7530","619.748041","ec2-52-26-238-212.us-west-2.compute.amazonaws.com","10.8.0.1","TCP","54","[TCP Keep-Alive] 443  >  36270 [ACK] Seq=6051 Ack=4992 Win=65535 Len=0"
"7531","619.748096","ec2-52-26-238-212.us-west-2.compute.amazonaws.com","10.8.0.1","TCP","54","[TCP Retransmission] 443  >  36270 [FIN, ACK] Seq=6051 Ack=4992 Win=65535 Len=0"
"7532","619.748129","10.8.0.1","130.44.212.180","TLSv1.3","84","[TCP Spurious Retransmission] , Application Data"
"7533","619.748210","130.44.212.180","10.8.0.1","TCP","54","443  >  56548 [ACK] Seq=5173 Ack=2623 Win=65535 Len=0"
"7534","619.748247","10.8.0.1","ord37s34-in-f14.1e100.net","QUIC","293","Protected Payload (KP0), DCID=b3c688518fdb6b0d"
"7535","619.809112","ord37s34-in-f14.1e100.net","10.8.0.1","QUIC","136","Initial, SCID=b3c688518fdb6b0d, PKN: 5, CC"
"7536","619.809336","10.8.0.1","gh-in-f188.1e100.net","TLSv1.3","92","[TCP Spurious Retransmission] , Application Data"
"7537","619.809684","server-52-85-91-64.ord53.r.cloudfront.net","10.8.0.1","TLSv1.3","5616","Server Hello, Change Cipher Spec, Application Data"
"7538","619.809800","10.8.0.1","server-52-85-91-64.ord53.r.cloudfront.net","TCP","54","[TCP Dup ACK 7501#1] 35002  >  443 [ACK] Seq=518 Ack=1 Win=67107840 Len=0"
"7539","619.809924","10.8.0.1","a23-48-208-50.deploy.static.akamaitechnologies.com","TCP","54","47000  >  443 [ACK] Seq=1 Ack=2 Win=67107840 Len=0"
