"No.","Time","Source","Destination","Protocol","Length","Info"
"4016","123.263729","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4017","123.263745","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4018","123.263765","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4019","123.264087","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4020","123.264105","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4021","123.264127","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data, Application Data"
"4022","123.264146","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4023","123.264165","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4024","123.264183","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data, Application Data"
"4025","123.264205","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4026","123.264224","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4027","123.264243","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4028","123.264261","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data, Application Data"
"4029","123.264283","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4030","123.264302","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data, Application Data"
"4031","123.264321","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4032","123.264404","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4033","123.264424","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data, Application Data"
"4034","123.264447","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","1426","Application Data [TCP segment of a reassembled PDU]"
"4035","123.264598","qrttxzy.local","gateway.fe.apple-dns.net","TLSv1.3","969","Application Data, Application Data, Application Data"
"4036","123.264625","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4037","123.264642","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4038","123.264658","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4039","123.264674","gateway.fe.apple-dns.net","qrttxzy.local","TLSv1.3","75","Application Data"
"4040","123.264694","qrttxzy.local","gateway.fe.apple-dns.net","TCP","40","53019  >  https(443) [ACK] Seq=50052 Ack=12901 Win=262080 Len=0"
"4041","123.264711","qrttxzy.local","gateway.fe.apple-dns.net","TCP","40","53019  >  https(443) [ACK] Seq=50052 Ack=12936 Win=262016 Len=0"
"4042","123.264728","qrttxzy.local","gateway.fe.apple-dns.net","TCP","40","53019  >  https(443) [ACK] Seq=50052 Ack=13006 Win=262144 Len=0"
