"No.","Time","Source","Destination","Protocol","Length","Info"
"14517","2022-01-19 22:42:12.876265","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","6944","443  >  33990 [PSH, ACK] Seq=268188 Ack=4963 Win=65535 Len=6890 [TCP segment of a reassembled PDU]"
"14518","2022-01-19 22:42:12.876284","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","33990  >  443 [ACK] Seq=4963 Ack=275078 Win=65535 Len=0"
"14519","2022-01-19 22:42:12.877989","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TLSv1.3","361","Application Data"
"14520","2022-01-19 22:42:12.878004","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","54","443  >  33990 [ACK] Seq=275078 Ack=5270 Win=65535 Len=0"
"14521","2022-01-19 22:42:12.882120","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TLSv1.3","8322","Application Data, Application Data"
"14522","2022-01-19 22:42:12.882136","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","33990  >  443 [ACK] Seq=5270 Ack=283346 Win=65535 Len=0"
"14523","2022-01-19 22:42:12.888468","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TCP","8322","443  >  33990 [PSH, ACK] Seq=283346 Ack=5270 Win=65535 Len=8268 [TCP segment of a reassembled PDU]"
"14524","2022-01-19 22:42:12.888484","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","33990  >  443 [ACK] Seq=5270 Ack=291614 Win=65535 Len=0"
"14525","2022-01-19 22:42:12.888555","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TLSv1.3","31748","Application Data, Application Data, Application Data, Application Data"
"14526","2022-01-19 22:42:12.888592","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","33990  >  443 [ACK] Seq=5270 Ack=323308 Win=65535 Len=0"
"14527","2022-01-19 22:42:12.888630","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TLSv1.3","17968","Application Data, Application Data"
"14528","2022-01-19 22:42:12.888654","10.8.0.1","xx-fbcdn-shv-02-ort2.fbcdn.net","TCP","54","33990  >  443 [ACK] Seq=5270 Ack=341222 Win=65535 Len=0"
"14529","2022-01-19 22:42:12.936219","xx-fbcdn-shv-02-ort2.fbcdn.net","10.8.0.1","TLSv1.3","1432","Application Data [TCP segment of a reassembled PDU]"
