"No.","Time","Source","Destination","Protocol","Length","Info"
"3902","56.679423","147.160.178.33","10.8.0.1","TCP","54","443  >  47874 [ACK] Seq=254 Ack=1203 Win=65535 Len=0"
"3903","56.679428","10.8.0.1","a23-48-208-25.deploy.static.akamaitechnologies.com","TCP","89","[TCP Retransmission] 50702  >  443 [PSH, ACK] Seq=3200 Ack=81762 Win=65535 Len=35"
"3904","56.679432","10.8.0.1","147.160.178.33","TCP","268","[TCP Retransmission] 47874  >  443 [PSH, ACK] Seq=1203 Ack=254 Win=65535 Len=214"
"3905","56.679441","147.160.178.33","10.8.0.1","TCP","54","443  >  47874 [ACK] Seq=254 Ack=1417 Win=65535 Len=0"
"3906","56.679445","10.8.0.1","147.160.178.33","TCP","54","47884  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"3907","56.679454","10.8.0.1","147.160.178.33","TCP","54","47868  >  443 [ACK] Seq=1429 Ack=145250 Win=65535 Len=0"
"3908","56.729553","10.8.0.1","147.160.178.33","TCP","590","47884  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=536 [TCP segment of a reassembled PDU]"
"3909","56.729645","147.160.178.33","10.8.0.1","TCP","54","443  >  47884 [ACK] Seq=1 Ack=537 Win=65535 Len=0"
"3910","56.729652","10.8.0.1","147.160.178.33","TLSv1.3","104","Client Hello"
"3911","56.729663","147.160.178.33","10.8.0.1","TCP","54","443  >  47884 [ACK] Seq=1 Ack=587 Win=65535 Len=0"
"3912","56.729670","10.8.0.1","a104-123-153-9.deploy.static.akamaitechnologies.com","TLSv1.3","319","Application Data"
"3913","56.729684","a104-123-153-9.deploy.static.akamaitechnologies.com","10.8.0.1","TCP","54","443  >  58890 [ACK] Seq=408224 Ack=9320 Win=65535 Len=0"
"3914","56.729688","10.8.0.1","a104-123-153-9.deploy.static.akamaitechnologies.com","TLSv1.3","331","Application Data"
"3915","56.729709","a104-123-153-9.deploy.static.akamaitechnologies.com","10.8.0.1","TCP","54","443  >  58890 [ACK] Seq=408224 Ack=9597 Win=65535 Len=0"
"3916","56.830137","a104-123-153-9.deploy.static.akamaitechnologies.com","10.8.0.1","TLSv1.3","24857","Application Data, Application Data"
"3917","56.830236","147.160.178.33","10.8.0.1","TLSv1.3","5576","Application Data"
"3918","56.830252","10.8.0.1","a104-123-153-9.deploy.static.akamaitechnologies.com","TCP","54","58890  >  443 [ACK] Seq=9597 Ack=433027 Win=65535 Len=0"
"3919","56.830258","10.8.0.1","147.160.178.33","TCP","54","47874  >  443 [ACK] Seq=1417 Ack=5776 Win=65535 Len=0"
"3920","56.880454","147.160.178.33","10.8.0.1","TLSv1.3","11078","Application Data, Application Data, Application Data"
"3921","56.880537","a104-123-153-9.deploy.static.akamaitechnologies.com","10.8.0.1","TLSv1.3","1045","Application Data"
"3922","56.880545","10.8.0.1","147.160.178.33","TCP","54","47874  >  443 [ACK] Seq=1417 Ack=16800 Win=65535 Len=0"
"3923","56.880552","10.8.0.1","a104-123-153-9.deploy.static.akamaitechnologies.com","TCP","54","58890  >  443 [ACK] Seq=9597 Ack=434018 Win=65535 Len=0"
"3924","56.980848","147.160.178.33","10.8.0.1","TLSv1.3","307","Server Hello, Change Cipher Spec, Application Data, Application Data"
"3925","56.981211","147.160.178.33","10.8.0.1","TLSv1.3","22102","Application Data, Application Data, Application Data, Application Data, Application Data"
"3926","56.981274","10.8.0.1","147.160.178.33","TCP","54","47884  >  443 [ACK] Seq=587 Ack=254 Win=65535 Len=0"
"3927","56.981286","10.8.0.1","147.160.178.33","TCP","54","47874  >  443 [ACK] Seq=1417 Ack=38848 Win=65535 Len=0"
"3928","57.031396","10.8.0.1","147.160.178.33","TLSv1.3","134","Change Cipher Spec, Application Data"
"3929","57.031485","147.160.178.33","10.8.0.1","TCP","54","443  >  47884 [ACK] Seq=254 Ack=667 Win=65535 Len=0"
"3930","57.031549","147.160.178.33","10.8.0.1","TCP","1432","443  >  47874 [PSH, ACK] Seq=38848 Ack=1417 Win=65535 Len=1378 [TCP segment of a reassembled PDU]"
